nama_tempat,user,review,rating
Mie Gacoan Bandung - Buah Batu,Yayah Yayah,"Tempat nya nyaman buat anak2 , jadi ibu2 yg bawa anak bisa nikmat buat makan",5
Mie Gacoan Bandung - Buah Batu,Salsabiila Wijaya,"Pengalaman makan disini sangat baik. Rasa mie gacoan disini pun lebih enak ketimbang cabang gacoan yang lain, makan juga damai karena kondisinya masih pagi jam 11 an. Penyiapan makanannya juga terhitung cepat, pokoknya best! Tingkatkan lagi dan sukses terus^^",5
Mie Gacoan Bandung - Buah Batu,Tulus Setyo Asmoro,"Tempat makan luas dan nyaman.
Makanan enak & murah.
Pilihan menu juga banyak. …",5
Mie Gacoan Bandung - Buah Batu,Aisyah Salimah,Makanan sama minuman nya enak cuma mie nya datang duluan minuman sm cemilan nya lama kali nunggu nya😂🤣 perbaiki itu saja sih kalau bisa minuman dulu terus makanan nya Dateng gitu sihh.. biar orang makan ga kepedesan 😪 …,5
Mie Gacoan Bandung - Buah Batu,AS Ordinary,"Untuk tempat menurut saya ini udah enak banget sih. Saat saya pertama kali datang kesini pelayanannya agak lama, tapi maklulm sih karena waktu itu malming jadi rame banget. …",5
Mie Gacoan Bandung - Buah Batu,ONE US,"Sbnrnya basic sih cuma kaya mie dicabein tapi enak kok, udang keju nya the bestt bgt bgt. Liat banyak di kota kota lain yg dapet zonk entah dr packaging atau pelayanan tp aku allhamdulillah gapernah dapet zonk",4
Mie Gacoan Bandung - Buah Batu,Arinda Amelia,"saya berkali2 kesini kenapa ya setiap take away pelayanan nya lama, karyawan cm ngobrol doang kebanyakan pdhl saya take away pagi2 loh blm bnyk yg beli juga blm rame, tolong ya pelayanan nya jgn kebanyakan ngobrol",4
Mie Gacoan Bandung - Buah Batu,Nie Aza,Selain makananx .enak Tempatx...nyaman ....pelayananx..juga bagus bgt,5
Mie Gacoan Bandung - Buah Batu,Evan He,"Sangat jelek tidak sesuai harga harusnya harga 25rn pas Dateng harga 31rb, udang keju dan air minum Kurang ada sebagean teman saya ga ke bagi",1
Mie Gacoan Bandung - Buah Batu,Asep Sudirman,"Alhmdulillah beberapa kali makan mi gacoan di sini di buah batu beda dari sebelum nya ,mi nya masih hangat dan makin nikmat di makan nya..",5
Mie Gacoan Bandung - Buah Batu,Nia Kania,"Aku pernah jajan di sana,duh tempatnya nyaman banget bagus buat poto"" 😍😍... makanan nya enak""  dan murahhhh banget ga bikin kantong kering,pokonya rekomendasi deh yg pingin jajan enak kenyang dan murah ayo datang aja ke Gacoan yg du buah batu,ayoo gaesss buktikan sendiri 🤩🤩👍👍 …",5
Mie Gacoan Bandung - Buah Batu,Dini Amalia Putri Rianto,"Gacoan ini sangat bagus. Pelayanan ramah, makanan nya enak dan harga nya juga murah. Worth it to buy",5
Mie Gacoan Bandung - Buah Batu,Lennii Karlina,"Mie gacoan buah batu tempatnya nyaman karyawan ramah dan semua bersih.

Makanan gak perlu ditanya lagi ya 🥰 …",5
Mie Gacoan Bandung - Buah Batu,Halwa Mufidatul Yumna,"enak buangeettt, pegawainya ramah ramah. pokonya mie nya cuma ada di buah batu gaada di brazil inimah💗🙀 …",5
Mie Gacoan Bandung - Buah Batu,Alit Dadang,"Bila sudah masuk ke resto gacoan ini sangat adem sekali,fasilitasnya terjamin ,nyaman untuk bawa keluarga makan di mie gacoan buah batu",5
Mie Gacoan Bandung - Buah Batu,Rini Aryanti,"Tempatnya nyaman, makanan lumayan, harganya worth it bangeettttt😭 tpi saya agak kecewa dikit banget. Waktu itu saya pesan siomay ayam, tpi sm waitersnya malah dikasih lumpia udang. Saya gk ngeuh pas dikasih itu krna saya gatau klo itu …",5
Mie Gacoan Bandung - Buah Batu,alya alyadesvita,"bagus banget , tempat nya nyaman bersih , pengawai’ nya juga pada baik ramah’ , makananya enak’ pokok nyaa mangapp banget gacoan buah batu 😍😍 …",5
Mie Gacoan Bandung - Buah Batu,Anelka Qashmal,"Buka 24 jam
Makanan dan minuman enak dan bersih
Pelayanan ramah, sigap, dan bersih …",5
Mie Gacoan Bandung - Buah Batu,Dedi juna channel,"Makanan enak ,harga terjangkau , cocok buat nongkrong sambil makan, minuman variatif yang pasti rekomendasi deh...sedikit saran alangkah baiknya varian menu disertakan gambar  agar untuk pembelian pemula tidak kebingungan menentukan makanan yg ingin dan saat memesan makanan",5
Mie Gacoan Bandung - Buah Batu,aniespur 94,"makanannya enak, hemat di kantong.
dan tips, kalo mau dine in di weekend - datangnya jam 9-10 soalnya masih rada sepi, jadi nunggunya gak terlalu lama, siangan dikit.. byebye deh.. banyak yang datang.. jadi harus ekstra sabar menunggu..",5
Mie Gacoan Bandung - Buah Batu,Ake Bahtiar,"Tolong untuk karyawannya di atur lagi dalam hal menggunakan toilet, kalau emang menyatu sama customer, udh lama bget, pake muntah muntah segala, kesannya jorok dan gak nyaman",3
Mie Gacoan Bandung - Buah Batu,Aulia Syifa,"makanan enak, pelayanan nya juga baik, kesini nya sekelas",5
Mie Gacoan Bandung - Buah Batu,Shida Halimatussadiyah,"makanannya enak, tempatnya nyaman, pelayanan nyaa ramah good bgt pokoknya",5
Mie Gacoan Bandung - Buah Batu,Sela Puji lestari,"gacoan buah batu memang the best paling wow,enak banget,pokonyaaa gacoan buah batu terbaik buat karyawan dana pegawai pegawai lainnyaaa semangatttt yaa buat pekerjaannyaaa I LOVEE U GACOAN BUBAT",5
Mie Gacoan Bandung - Buah Batu,Uli Fauzan,"untuk tempat lumayan, hanya untuk Parkir kurang buat mobil, untuk Penjaga parkirnya kurang baik dari segi keseragaman. untuk makanan dan minuman cukup enak, bersih dan variatif, untuk pelayanan di tempat pemesanan cukup bagus meskipun …",3
Mie Gacoan Bandung - Buah Batu,Mustika Amanah,"Baru lihat foto mie-nya aja udah bikin ngiler parah sih ini gacoan. Harganya murah. Murah banget. Pangsit sama udang kejunya paling juara. Tempatnya nyaman, suasananya enak. Apalagi kalo malem, gak panas. Recomended menu; udang keju + mie …",4
Mie Gacoan Bandung - Buah Batu,Adeeva Maulana,Malem Minggu tanggal 18januari saya makan disitu tp helm suami saya ada yg ngambil.. saya cuma MW minta rekaman cctv dan PGN tw siapa yg ngambil ajah ga ada respon.. saya tw bukan salah pihak GC tp setidak nya membantu karna saya kesitu jg …,3
Mie Gacoan Bandung - Buah Batu,Hasna Afiyah,"baru kali ini mesen dine in mie nya dingin plus keasinannnnnnnnn, kulit pangsit beda ga kaya biasanya kaya pangsit yang keras plus agak apek gituuuu mohon perbaiki yaaaa ga seenak dulu gacoannya",3
Mie Gacoan Bandung - Buah Batu,shall & shakk (Play and fun),"Makanan nya enak cm pelayanan nya kurang bagus ya karna rame kali ya jd mbaknya aga terburu"" , mungkin jg cape",5
Mie Gacoan Bandung - Buah Batu,alika Naura,"makanan nyaenak tapi ada kurangnya, kurang nyagadapet ujang kedugeratis 😡tapi gpp ailobyu …",5
Mie Gacoan Bandung - Buah Batu,Shinta Amalia Oktafiani,"Makanannya enak, pelayanan nya cepat, dateng jam 9an antriannya ngga terlalu panjang, areanya juga luas jadi leluasa pilih tempat duduknya. Harganya juga termasuk murah",5
Mie Gacoan Bandung - Buah Batu,arvie radinka,untuk makanan nya cukup enak + suasana nya enak.... sama pelayanan nya bagus lahh untuk rat dari saya 1000/1000,5
Mie Gacoan Bandung - Buah Batu,Gunadhi Pratama,"Lokasi: Strategis, dekat persimpangan buah-batu soekarno hatta. Cuman males saja begitu pulang harus muter balik ke stopan kircon dulu. …",5
Mie Gacoan Bandung - Buah Batu,Nur Afifah Setianingsih,"Udang kejunya the best sih ♥️♥️♥️
Kalau mie nya, rekomendasi aku yg mie gacoan. Kalau ga suka pedes, beli yg level 0 aja. Soalnya level 1 aja menurutku pedes banget 😆
Harga murah banget. …",5
Mie Gacoan Bandung - Buah Batu,Febrina Lady,"makananan enak service nya baik Dan ramah, untuk tempatny jga nyaman",5
Mie Gacoan Bandung - Buah Batu,Rizkhy Ramdhan Maulana,Tempatnya enak makannan juga enak pelayananya juga enak cepet best bnget buat gacoan buah batu pokonyaa best tempat makan terhoki,5
Mie Gacoan Bandung - Buah Batu,Mochamad Firman,"parkir motor 3rb per motor?! kalo emg diurus ormas, tolong pihak manajemen gacoan juga mengontrol. jgn merugikan konsumen. spanduk parkir tertulis 2rb, saat dikonfrontasi, tukang parkir cuma bilang, “itu cetakan lama”.",1
Mie Gacoan Bandung - Buah Batu,yanto siddiq,"tukang parkir ga guna, kehilangan konsumen yg tanggung. karcis hilang di denda, kalo konsumen kehilangan ga tanggung jawab.",1
Mie Gacoan Bandung - Buah Batu,Aini Al-Fajriah,"Definisi gacoan jualan dimsum, mie nya opsional. Aduh gk faham lagi, pesen level 1 pas dibuka cabe nya banyak bener kayaknya pas dikemas salah orderan. Pas mau makan mie nya ngegumpal belum mateng dong, terus mie nya kematengan padahal biasanya pas kekenyalannya. Parah sih, emang rame banget cuman kan cust beli pake uang bukan minta",4
Mie Gacoan Bandung - Buah Batu,septian khafidillah96,Pelayanan lambat. Dtng pertama yang di siapin yang baru dtang,1
Mie Gacoan Bandung - Buah Batu,Laila Fawaz,"tempat pertama kali aku nyobain gacoann, dan seenakk dan senyamann ituu",5
Mie Gacoan Bandung - Buah Batu,Felice Naila,"tempatnya enak banget buat makan rame2, layanan juga lumayan cepat sukaa bangett!! 🫶 …",5
Mie Gacoan Bandung - Buah Batu,agustina hesty,Makanannya enak harganya muraaah pelayanannya baguss toilet mushalnya bersih,5
Mie Gacoan Bandung - Buah Batu,Mardea Mumpuni,"Kelihatannya selalu ramai, tapi ternyata tidak terlalu. Karyawannya sangat banyak, tp sptnya banyak yg diam saja/tidak sibuk. Banyak anak2 muda nongkrong2. Rasa lumayan enak, murah.",4
Mie Gacoan Bandung - Buah Batu,Sigit Susana,"Tempatnya asik buat berdua atau rame"" makin asik
Mi nya enak sesuein aja levelnya, tambah minumannya makin seger.",5
Mie Gacoan Bandung - Buah Batu,vina meyda apriani,"pelayanan nya bagus bgt, tdi aku ketinggalan kacamata di bantuin nyari sm si tth nya sampe ketemu pdhl lgi rame bgt, mksi yaa buat tth nyaa",5
Mie Gacoan Bandung - Buah Batu,Den Santana,saya tiduk suka dengan pelayan nya manager yang cewek yg begitu sangat sombong dan merendahkan driver online,1
Mie Gacoan Bandung - Buah Batu,Ressiayu Febriyanti,"Okelah buat ngumpul temen temen bocah..
Strategis.beruntungny ga lg rame",5
Mie Gacoan Bandung - Buah Batu,Heker Pro,tempatnya rapih pelayanan bagus makanan enak semua,5
Mie Gacoan Bandung - Buah Batu,Edi Sutoyo,"Dari dulu setiap lewat mie gacoan selalu kepo mengapa pada rela antri panjang, ternyata terjawab sudah setelah mencoba dine in di gacoan buah batu",5
Mie Gacoan Bandung - Buah Batu,Omi Sahromi,"Makanannyaa enakk polll, pelayannya ramah ramahh pokoknyaa besttt dh",5
Mie Gacoan Bandung - Buah Batu,ai nur hayati,makanan nya enak murah tempat nyaman pelayan nya pada ramah ramah,5
Mie Gacoan Bandung - Buah Batu,Cyndi Nadia,"Tempatnya enak di tengah tengah, stafnya ramah dan gercep dalam menyediakan makanan atau minuman",5
Mie Gacoan Bandung - Buah Batu,Hanitovani Danisworo,"Makanan worth the price bgt
tempatnya strategist the best gacoan in town!🫰🏼 …",5
Mie Gacoan Bandung - Buah Batu,Yyha,Tempatnya enak nyaman  makanannya enak gacoan Telkom buat nongkrong makan siang posisinya juga di tengn kota enak pokonya depes buat gacoan bubat,5
Mie Gacoan Bandung - Buah Batu,Irsyad Ibadulloh,"Tempat nyaman dan strategiss, walaupun pesanan ada yang tidak sesuai, tapi rasa mie nya enak, rekomended.",5
Mie Gacoan Bandung - Buah Batu,Ambarani,"Makanannya enak, gurih tapi piringnya berminyak dan kurang nyaman tapi makanannya tetep enak kok",4
Mie Gacoan Bandung - Buah Batu,fera fauzian (fera),"Mie gacoan udang tahu sama udang keju emng favorit bangettttt.
Kebetulan dateng pas lagi puasa, gaperlu ngantri panjang. Hihi",5
Mie Gacoan Bandung - Buah Batu,Fauzan Hafiz Ojan,"Saya memesan mie gacoan level 6, thai tes, & udang keju; tetapi mienya tidak sampai sampai malah yang lain yang baru datang yang dapet duluan padahal saya sudah sampai disini sejak pukul 00.56 akan tetapi sampai jam 01.42 masih tidak sampai …",3
Mie Gacoan Bandung - Buah Batu,Nat Sa,"Pertama ke gacoan disini. mienya ga gurih, entah belum di pakein asin atau engganya padahal beli level 2. Tp overall gapapa sih, mungkin karna lagi rame bgt soalnya beli pas jam makan malem. …",4
Mie Gacoan Bandung - Buah Batu,Alfi Nuraeni Az Zahra,"Mie gacoannya enak pedes level 3 juga kerasa bangett tapi waiting list nya lama bangett sejam doong huhuuu terus tempat duduknya ngacak nomornya engga berurutan kasian mba pegawainya nyarii, terus mungkin karena tempat baru jadi masi banyak hewan ih yang terbang pas makan juga ada aja hewan yg ke baju untuk engga ke makanan:(",3
Mie Gacoan Bandung - Buah Batu,Monica Sekar,bakal jadi tempat kenangan bareng temen² asrama saat udh ga dibandung lagi,5
Mie Gacoan Bandung - Buah Batu,Teti Ro,"Datang sore habis ashar weekday, gak tll penuh, masih nyaman buat lama2 gak diburu-buru, dpt meja yg muat 8-12 orang, perorang minimal spend money 20k udah makan kenyang plus minuman, anak2 bisa main lari2an di depan mini stagenya, sampai …",5
Mie Gacoan Bandung - Buah Batu,Paradisa Sumirat,"Tempat makannya bersih dan nyaman, parkirannya juga lumayan luas, cocok buat kumpul sama temen atau keluarga",5
Mie Gacoan Bandung - Buah Batu,Vonny Nur Aprillianti S,"Price: murah meriah
Taste: yummy
Service: quite nice, banyak crew nya
Place: spacious, comfy. Ada outdoor & indoor",5
Mie Gacoan Bandung - Buah Batu,nur fadhilah,lumayan asik buat ngumpul bareng dengan harga makanan yang murah di kantong pelajar,5
Mie Gacoan Bandung - Buah Batu,Zikri Yurika,"Parkir mobil 5 ribu coy ,isi nya preman mabok semua ,SAMPAH !!!",1
Mie Gacoan Bandung - Buah Batu,bocil kematian,"Pelayanan nya ramahh, makanannya enakk, datengnyaajugaa cepett 💕💕 …",5
Mie Gacoan Bandung - Buah Batu,Deina Adisty,Enak polll tempatnya bersih dan nyamannn,5
Mie Gacoan Bandung - Buah Batu,Oki Daulay,"Mesen lv 1 tp pedesnga kyk lv 3, dibanjur air dikit biar ngendap cabenya ternyata sebanyak ini, pantesan. Dtg pas weekend rameee pisan, makanannya jd lama dtg",2
Mie Gacoan Bandung - Buah Batu,Afifah kirana,pelayanan nya bagus cepet trs makanan nya enak,5
Mie Gacoan Bandung - Buah Batu,Syifa Azhari,"Ga makan di tempat soalnya buat dimakan di rumah bareng keluarga.
Tempatnya ada di perempatan buahbatu ya. Arah ke cibiru.
Parkiran penuh sama motor. Bayar 3k untuk parkir motor ya. …",5
Mie Gacoan Bandung - Buah Batu,Jujun Ramdani,"kasir atas nama “TRAINNING” di Trainning lg biar bisa melayani dengan baik dan lebih ramah lagi dalam melayani pelanggan, untuk makanan dan dan susanannya oke, worth it buat harganya",2
Mie Gacoan Bandung - Buah Batu,Ramdan Japar Sidik,"Dari segi kualitas makanan sangat enak, serta pelayanan costumernya juga menyenangkan semoga dapat pertahankan dengan baik",5
Mie Gacoan Bandung - Buah Batu,AZIZ 854 CHANNEL,"Beda outlet tentu ada perbedaan kebijakan,,, Kalau di sini semisal hendak ""dine in"" harus pesan meja terlebih dahulu sama pihak weiting list, setelah itu baru antri pesan menu.
Terimakasih",5
Mie Gacoan Bandung - Buah Batu,fahira galaxy,"Suasananya ok, rame banget tp gak yang sampe ngeganggu gitu, nyaman bingitss🙌🏻 …",5
Mie Gacoan Bandung - Buah Batu,Ecep Rizki,Tempatnya enak pelayananya nyaman murah lagi bst bngt bubat pokonya enak buat makan,5
Mie Gacoan Bandung - Buah Batu,Nur Fitri,"makanan paling favorit sih, apalagi udang keju nya yg jadi khas kalo kesini wajib order. waktu dtng mndekati waktu buka puasa, dan itu diantar ke meja sblm adzan berkumandang. suasana selalu ramai jadi kalo mau makan di tempat harus gercepan dan sabar ya bestie~",5
Mie Gacoan Bandung - Buah Batu,Alvi Meilani,"suasana nyaa mantapp, makanan nya selalu hangat",5
Mie Gacoan Bandung - Buah Batu,azra achnayda,gacoannya hambar bgt gaada rasa kecap atau manisnya samasekali,3
Mie Gacoan Bandung - Buah Batu,Rahma Nrll,"tempat nya bagus adem, pelayanan baik makanan juga enak ga nunggu lama",5
Mie Gacoan Bandung - Buah Batu,Utar Utar,"Paling Malas kalau udah antri dpt tempat duduk, malah disuruh pindah sama pegawainya disuruh duduk di tempat yg buat 2 orang padahal kita bertiga sama anak udah gede. udaj kita pindah ada nempatin padahal cuma 3 orang juga eh dibirian kok …",1
Mie Gacoan Bandung - Buah Batu,isti Pradita,"sempet di lap sebagian sebelum di foto, tolong kebersihannya",2
Mie Gacoan Bandung - Buah Batu,Elis Ela,Makanan nya enak tapi kurang enak waktu itu adik saya pakai topi warna pink dan sendal hijau waktu saya berpoto sebentar liat meja nya topi dan sendal nya hilang menurut saya mungkin diambil sama pegawai 🙏 …,3
Mie Gacoan Bandung - Buah Batu,Marwa Sulaiman,dalam pelayanan nya baik dan ramah terus makanannya juga enak terus tempatnya juga bersih,5
Mie Gacoan Bandung - Buah Batu,Deana Pertiwi,"Tempat nya nyaman, mie nya enak gurih yang kerja nya juga ramah ramah banget. Pokoknya fav banget buat gacoan bubat💗💗💗 …",5
Mie Gacoan Bandung - Buah Batu,nova hasan,Tempatnya enak meriah banget aku ngerayain ulang tahun makasih bnget gacoan buah batu suka bnget,5
Mie Gacoan Bandung - Buah Batu,Rika Nurhasanah,"Hari ini baru banget pulang dari gacoan. Cuman agak kurang puas dari segi pelayanan dan makanan nya.
Pesan mie gacoan level 1 untuk 2 orang, tp setelah di makan tingkat kepedesan …",3
Mie Gacoan Bandung - Buah Batu,Lutfi Muafak,untuk teteh lisna baik banget yah sama makanan nya enak yah harud tetep juara yah harud jadi no 1 di Indonesia yah mantap,5
Mie Gacoan Bandung - Buah Batu,DesmondNo.1 MVN,"Udang keju nya mantab, matcha nya wenak, pelayanan nya amazing, tempat nya bagus, pokoknya mah edan we 👍🏻 …",5
Mie Gacoan Bandung - Buah Batu,Ardhiansyah Arry,pelayanannya bagus makanannya enak tempatnya nyaman pokoknya thebest👍🏻👍🏻👍🏻👍🏻 …,5
Mie Gacoan Bandung - Buah Batu,Nur Fitriana,"Tempatnya rame,bersih, pelayanan oke deh pokoknya..",4
Mie Gacoan Bandung - Buah Batu,Rian 17,pelayanannya bagus ramah pokoknya gacoan buah batu best🫶🏻 …,5
Mie Gacoan Bandung - Buah Batu,Jasmine Jantika27,"gacoan emang ga pernah mengecewakan, udah harga nya murah rasanya juga enak banget!!! suka benget",5
Mie Gacoan Bandung - Buah Batu,Arif Septian,"Tempat nya nyaman, Makanan nya TOP",5
Mie Gacoan Bandung - Buah Batu,Rian Nur Adha,"siomay nya enak,pelayanan nya baik,pokoknya sukses selalu buat mie gacoan bandung",5
Mie Gacoan Bandung - Buah Batu,Muti Assyifa,"Pelanyanan kasir kurang mengenakan sekali gacoan buahbatu tidak senyum sama samsek,  ketus pula",2
Mie Gacoan Bandung - Buah Batu,Siti Nurjanah,"Cabang baru buah batu, lebih dekat dengan kostan. Rasa mienya enak, minumannya lebih besar porsinya dan harganya tetep murah.",5
Mie Gacoan Bandung - Buah Batu,muhammadmuhyii 1612,"makanannya enak enakk, pelayanannya juga ramah ramahhh sukaaa polll",5
Mie Gacoan Bandung - Buah Batu,Nadia Nur Sausan,"Tempatnya bagus dan nyaman, ada untuk lesehan dan duduk di kursi untuk area luar, dan ada tempat makan di dalam juga, cocok untuk ngumpul bareng teman, makanannya enak enak dan harganya terjangkau",5
Mie Gacoan Bandung - Buah Batu,Suci,"Barusan ke sana niatnya buat nongkrong smbil makan sehabis pulng kerja, eh malah d sambut ga enak sama kasir cwo, bahasanya kurang mengenakan, ngerti msih training tpi dri segi bahasa masa gabisa kontrol ke customer, niat pulng kerja cape …",1
Mie Gacoan Bandung - Buah Batu,Yunia Nur Rohmah,"Tempatnya nyaman, mienya enak ngga terlalu asin, udang gacoannya mantap bgttt kejuanya meler",4
Mie Gacoan Bandung - Buah Batu,Sofia aeni,"Untuk makanan, jujur si ga akan pernah bosen karna memang semurah dan seenak itu. Memang gacoan cocoknya makan ditempat jadi mie nya masih angeut tambah level kepedasan yang hot wah mantulllll betul. …",5
Mie Gacoan Bandung - Buah Batu,Ika Rahman,"Pesan dimsum, Di kertas dimsum nya ada kecoa mati yg menempel..
Sumpah jorok bgt.
Ilang selera makan",1
Mie Gacoan Bandung - Buah Batu,Nurhayati Nuyy,Makanannya enak sekali pelayanan bagus dan tempat nya bersih,5
Mie Gacoan Bandung - Buah Batu,Liana Adilah Fahmuddina,"Adik saya dan temannya makan disini kemarin malam, makan yang LEVEL 0 tapi qodarullah jam 1 harus ke rumah sakit. Mereka dirawat di IGD langsung dan di diagnosa KERACUNAN MAKANAN yang sama. Mohon utk semua tim crew DI CEK ULANG keamanan dan kebersihan bahan - bahan makanannya. Agar tidak ada lagi kejadian yang sama. Trims.",1
Mie Gacoan Bandung - Buah Batu,Hani Nurullatifah,"Makanannya enakkk bangttttt terus suka juga udang kejunyaaa , apalagi tempat makannya bersih dan pelayanan nya baikbangetttt",5
Mie Gacoan Bandung - Buah Batu,Violica Marsya,"haii gaiiis.. kesekian kalinya ke gacoan sini
recommended bgt yg blm hayuu
buka 24 jam buat yg begadang yg gabut tengah malam mampir aja..
ramah semua pelayannya 🥰 …",5
Mie Gacoan Bandung - Buah Batu,Shin Shin,"Enak, murah, banyak pilihannya baik dari makanan, minuman, dan topping/pendamping makanannya",5
Mie Gacoan Bandung - Buah Batu,nadine septia,Bukber disini benar benar seru! selain makanan nya enak enak juga pelayanan kaka kaka nya sangat ramah! Madep deh pokoknya 😋😋😋 …,5
Mie Gacoan Bandung - Buah Batu,Bayu S G,"Tolong lebih ditingkatkan lagi pelayan nya, mesen udah dari 1jam yang lalu, pesanan nya belum ready juga, padahal tidak terlalu ramai.",1
Mie Gacoan Bandung - Buah Batu,Yariyama,"teteh lisna pelayanannya ramah baik banget, mkanan nya enak, mantap",5
Mie Gacoan Bandung - Buah Batu,Susi Susanti,"Tempatnya bersih, pelayanan nya ramah, makanannya mantulll",5
Mie Gacoan Bandung - Buah Batu,Siti Naima Wardani,kualitas pelayanan dan rasa makanan sesuai harapan kami mantap,5
Mie Gacoan Bandung - Buah Batu,Fhania Lashani D,"Seperti biasa gacoan emg enak, pelayanan di gacoan buah batu enak juga pada ramah2",5
Mie Gacoan Bandung - Buah Batu,M. Dzik,"Makan di tempat semua harus diambil sendiri. Udah gitu pas alatnya bunyi disamperin malah mie nya belum jadi alhasil nunggu lagi. Tukang parkirnya Banyak korupsi, ditulisan tarif parkir 2 rb pas keluar ditagih 3 rb alasannya itu tarif promo, dan seribu nya buat orang situ. Tolong di evaluasi lagi. Jdi males buat ke tempat sini.",2
Mie Gacoan Bandung - Buah Batu,Sarah,"Selalu rame, dan enaknya 24 jam. Favorite itu udang keju no debat harus beli sihhh!!!",5
Mie Gacoan Bandung - Buah Batu,Pisang GORENG,"makanannya enak, dateng ke sini aga telat tetep anget, tempatnya juga lua",5
Mie Gacoan Bandung - Buah Batu,Auliya najla Kamila,"makananya enak, pelayanannya juga ramah dan cepat",5
Mie Gacoan Bandung - Buah Batu,madina azmi,"enaakk tempatnyaa, makanan nya jugaa enak, pokonya worth it guyss",5
Mie Gacoan Bandung - Buah Batu,Dining Ayu,Kurang suka sama meja kotor . Lap nya yg kotor sih walaupun udah di bersihin kaya berminyak gitu lengket mejanya. …,3
Mie Gacoan Bandung - Buah Batu,Nuryana Saputra,"Makanan tertumpuk sangat banyak, 2 jam didiamkan, NGABAGEUL jadinya dingin.. Yg kerja bagian depan diperbanyak. Managernya kurang memanage.",1
Mie Gacoan Bandung - Buah Batu,2_Salsabila Azzahra_ 2019,plis lah ngasih garem jgn kebanyakan. ngeri darting. pesen gacoan tapi kecapnya dikit mana asin bgt lg,3
Mie Gacoan Bandung - Buah Batu,Nersgitarosalin,"nyaman tempatnya, buat tempat duduknya banyak kuga, pelayanannnha baim",5
Mie Gacoan Bandung - Buah Batu,Dragon sgs,Pelayanan pemesanan parah sampe 2 jam tambah untuk minumanya menyusul sampai saya samperin br dilayani,1
Mie Gacoan Bandung - Buah Batu,Muhammad Fachri,tempatnya bagus nyaman dan makanan gacoannya enak the best pokonya 100/1000000,5
Mie Gacoan Bandung - Buah Batu,Almaira Viny z,"tempatnya nyamann n pelayanannya juga bagus bangett, enakk lagieee",5
Mie Gacoan Bandung - Buah Batu,Putri Luthfiah Harmaya,"aku pesan mie hompimpa level 6, menurut aku gak terlalu pedas tapi enak. pelayanan nya juga bagus dan cepat, gak menunggu pesanan terlalu lama.",4
Mie Gacoan Bandung - Buah Batu,Kiaanjani 089,"Buat bagian kasir mohon saat ngelayanin customer yang fokus ya untuk temennya yang lain jangan ganggu fokus yang lagi ngasirin, td saya sampe ber ulang ulang nyebutin pesenan dan ujungnya juga tetep pesenan saya ada yang ga ke input, kedepannya mohon untuk lebih teliti dan fokus lagi ya..  semangat guys.",3
Mie Gacoan Bandung - Buah Batu,Rizki 30,"Alat pengambil pesanan bunyi, kirain bakal udh jadi, taunya suruh nunggu mie karena belum siap. Saran kalau memang belum siap pesanan di nampan nya, jangan bunyiin alatnya, lumayan nunggu 8 menit di meja pengambilan. Mie nya juga terlalu …",3
Mie Gacoan Bandung - Buah Batu,Anna nisa,"Untuk take away aman2 aja, petugasnya teliti & gercep👍🏻 …",5
Mie Gacoan Bandung - Buah Batu,Hamster Gm,pelayanannya sangat bagus dan penyajian makanannya cepat,5
Mie Gacoan Bandung - Buah Batu,wild youth,pelayanannya gercepp tempatnya enak bnget rekom banget buat nongki pokonyaa,5
Mie Gacoan Bandung - Buah Batu,Iwan Maulana,"Ya bgtu lah mie yamin di cengekin..
Mana cengek nya ada yg kurang halus njir..
Itu kan malu ya ada yg nyelip di gigi gw tuh cabenya... …",5
Mie Gacoan Bandung - Buah Batu,Cucu Ilman,"Datang kesana sekitar pukul 21.30 untuk dine in, dan tidak antri sama sekali, kecuali pesanan ojol antrinya panjang bgt, jadi gk penasaran kenapa rame terus ternyata harganya gk masum akal, pangsitnya juga mewah, cuman mie nya nambleg kaya kaku gitu,",5
Mie Gacoan Bandung - Buah Batu,Adelia Nur,"tempatnya bersih, pelayanannya ramah dan baik, tempatnya bersih, makanannya gak lama nunggunyaa",5
Mie Gacoan Bandung - Buah Batu,A Ganendra,Makanan enak.. Layanan teroganisir dgn baik.. Parkir luas lebih nyaman take away aja..,5
Mie Gacoan Bandung - Buah Batu,aurelia putri,"makanan nya enak, pelayanan nya bagus bgt, sukaaa",5
Mie Gacoan Bandung - Buah Batu,Ilyas,pelayanannya bagus & makanannya enak,5
Mie Gacoan Bandung - Buah Batu,Reva nk,"harganya terjangkau, makanannya enak, kasirnya sangat ramah, pelayanannya sangat cepat",5
Mie Gacoan Bandung - Buah Batu,seny onay,Tempat makan yg nyaman dan enaknya makan disini tuh ga terlalu antri diantara mie gacoan yg lain.,5
Mie Gacoan Bandung - Buah Batu,_lusissnti_,"Dari makanannya udah top banget, gak usah diragukan. Pelayanan kasirnya baik, dan ramah juga. Dari pelayanan staff lainnya pun sama ramahnya. Dari suasana bagus, cocok untuk kalangan anak muda. Top deh♡",5
Mie Gacoan Bandung - Buah Batu,Aida Stinrkmila,"Pelayanan kurang baik, trus udang keju nya juga asin sama mie gacoan nya juga rasanya anehh",1
Mie Gacoan Bandung - Buah Batu,Ridwan Indrayana,"suasana nya sangat bagus, makan nya sangat enak. pokoknya di gacoan buah batu paling the best ⭐⭐⭐⭐⭐",5
